Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,74466,2.14,50.9,29.47,15.7,200.2,13053,vn,gold
2,Graves,72604,2.4,52.24,28.73,16.83,206.77,13793,vn,gold
3,Lee Sin,70121,2.5,49.46,27.75,16.76,160.56,12253,vn,gold
4,Ezreal,64820,2.46,50.41,25.65,5.27,191.44,12501,vn,gold
5,Lux,56742,2.49,52.16,22.45,19.8,94.8,10526,vn,gold
6,Jhin,54691,2.81,51.59,21.64,1.73,192.44,13108,vn,gold
7,Smolder,52347,2.07,47.57,20.72,23.21,213.79,12553,vn,gold
8,Jinx,51470,2.34,51.73,20.37,1.21,203.88,12794,vn,gold
9,Sylas,49821,2.07,51.55,19.72,18.6,139.63,11486,vn,gold
10,Kai'Sa,48316,2.41,49.3,19.12,2.21,204.41,13204,vn,gold
11,Yone,47975,1.67,48.07,18.99,16.34,204.79,12288,vn,gold
12,Viktor,45749,2.34,53.92,18.1,20.7,195.54,12329,vn,gold
13,Yasuo,42479,1.54,46.6,16.81,38.82,204.22,12234,vn,gold
14,Thresh,40056,2.54,50.1,15.85,6.67,32.83,8532,vn,gold
15,Ashe,36315,2.27,49.45,14.37,2.15,172.1,11724,vn,gold
16,Aatrox,36174,1.92,51.93,14.32,28.29,175.6,11773,vn,gold
17,Xerath,34149,2.81,53.2,13.51,25.53,105.72,10998,vn,gold
18,Jayce,32624,1.87,48.89,12.91,4.88,196.02,12561,vn,gold
19,Kha'Zix,28505,2.46,51.25,11.28,10.12,180,13072,vn,gold
20,Brand,27654,1.98,52.81,10.94,12.79,94.88,10458,vn,gold
21,Mordekaiser,26959,1.9,52.82,10.67,19.3,177.05,12078,vn,gold
22,Garen,26880,1.85,49.69,10.64,2.53,205.32,12927,vn,gold
23,Miss Fortune,26649,2.33,50.53,10.55,0.48,179.75,12820,vn,gold
24,Master Yi,26483,1.96,49.6,10.48,11.42,176.29,12709,vn,gold
25,Malphite,25182,2.32,49.99,9.97,10.05,138.58,11017,vn,gold
26,Nasus,25051,1.88,52.47,9.91,12.31,187.68,12036,vn,gold
27,Pyke,23817,2.09,49.94,9.43,7.99,37.53,10295,vn,gold
28,Jarvan IV,23347,3,51.64,9.24,1.34,155.33,12077,vn,gold
29,Tahm Kench,23318,2.57,54.94,9.23,6.33,85.75,10254,vn,gold
30,Teemo,22665,1.83,52.15,8.97,14.02,161,11845,vn,gold
31,Ahri,22480,2.58,52.6,8.9,5.04,181.01,11764,vn,gold
32,Darius,21832,1.78,50.37,8.64,9.68,185.13,12221,vn,gold
33,Nocturne,21128,2.64,53.1,8.36,22.67,184.49,12639,vn,gold
34,Viego,20871,2.47,52.09,8.26,1.43,176.31,12632,vn,gold
35,Varus,20685,2.16,47.71,8.19,0.54,186.66,12379,vn,gold
36,Diana,20633,2.14,51.36,8.17,2.76,191.94,13039,vn,gold
