Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Graves,2105,2.75,52.73,31.9,47.26,189.17,12251,vn,grandmaster
2,Viego,1919,2.8,51.02,29.08,7.81,166.61,11087,vn,grandmaster
3,Kai'Sa,1761,2.53,48.38,26.69,3.5,199.78,11597,vn,grandmaster
4,Ezreal,1557,2.8,51.7,23.6,11.74,192.4,10982,vn,grandmaster
5,Lee Sin,1386,2.89,49.28,21.01,15.86,151.54,10665,vn,grandmaster
6,Lulu,1293,3.5,51.59,19.6,13.27,26.74,7286,vn,grandmaster
7,Jinx,1280,2.55,50.08,19.4,1.42,202.76,11411,vn,grandmaster
8,Corki,1253,2.59,53.23,18.99,10.86,201.77,11544,vn,grandmaster
9,Thresh,1168,2.79,53.42,17.7,10.44,27.84,7303,vn,grandmaster
10,Karma,1106,2.77,49.46,16.76,12.29,41.73,7618,vn,grandmaster
11,Sylas,1102,2.1,49.46,16.7,13.57,153.1,10176,vn,grandmaster
12,Ashe,1072,2.58,52.89,16.25,8.07,182.99,10598,vn,grandmaster
13,Viktor,1026,2.42,53.51,15.55,15.56,192.08,10807,vn,grandmaster
14,Jhin,1023,2.98,50.34,15.5,0.49,190.89,11391,vn,grandmaster
15,Nidalee,988,3.36,52.94,14.97,9.23,156.15,10781,vn,grandmaster
16,Yone,950,1.75,47.26,14.4,4.66,193.73,10627,vn,grandmaster
17,Caitlyn,864,2.21,45.37,13.09,9.11,199.89,11468,vn,grandmaster
18,K'Sante,824,2.2,50.61,12.49,10.94,173.04,9884,vn,grandmaster
19,Renekton,822,1.91,49.51,12.46,14.23,187.97,10598,vn,grandmaster
20,Gragas,820,2.49,48.78,12.43,3.75,152.66,9920,vn,grandmaster
21,Rell,808,2.89,50.62,12.25,13.51,25.78,7405,vn,grandmaster
22,Aatrox,804,1.78,44.78,12.19,6.49,168.15,9918,vn,grandmaster
23,Yasuo,803,1.79,49.32,12.17,13.68,192.59,10722,vn,grandmaster
24,Maokai,732,2.32,48.5,11.09,2.72,123.22,8581,vn,grandmaster
25,Ahri,711,3.04,48.52,10.78,2.88,182.94,10526,vn,grandmaster
26,Varus,680,2.33,52.35,10.31,1.11,190.43,11134,vn,grandmaster
27,Galio,660,2.77,49.7,10,6.69,159.23,9451,vn,grandmaster
28,Jax,650,1.74,50.15,9.85,11.29,175.21,10712,vn,grandmaster
29,Akali,649,2.4,47.3,9.84,9.59,172.35,10687,vn,grandmaster
30,Nami,643,3.25,47.28,9.75,0.39,23.58,7122,vn,grandmaster
31,Riven,641,1.99,53.04,9.71,1.21,184.94,10998,vn,grandmaster
32,Jayce,615,1.78,48.62,9.32,7.28,189.67,11032,vn,grandmaster
33,Braum,610,2.93,54.43,9.24,7.04,24.59,7159,vn,grandmaster
34,Aurora,608,2.65,50.16,9.21,18.9,169.49,10263,vn,grandmaster
35,Pyke,591,2.32,48.9,8.96,40.4,31.45,8529,vn,grandmaster
36,Elise,588,2.89,54.25,8.91,9.44,137.47,11128,vn,grandmaster
37,Xayah,586,2.38,51.71,8.88,1.43,204.1,11341,vn,grandmaster
38,Nautilus,571,2.3,49.21,8.65,12.95,30.63,7204,vn,grandmaster
39,Ambessa,561,2.02,54.19,8.5,49.1,174.75,10677,vn,grandmaster
40,Hwei,543,2.75,50.46,8.23,4.89,167.69,10621,vn,grandmaster
41,Irelia,515,1.71,51.65,7.81,8.63,214.62,12222,vn,grandmaster
42,Kha'Zix,513,2.6,47.56,7.77,11.62,169.3,11189,vn,grandmaster
43,Hecarim,511,3.21,57.53,7.77,3.89,194.49,11554,vn,grandmaster
44,Qiyana,486,2.91,58.64,7.37,2.16,170.32,11372,vn,grandmaster
45,Rakan,480,2.95,53.33,7.31,0.44,26.91,7140,vn,grandmaster
46,Poppy,463,2.54,53.13,7.02,16.6,53.09,8380,vn,grandmaster
47,Lucian,457,2.35,50.55,6.96,1.42,196.58,11400,vn,grandmaster
48,Neeko,449,2.53,55.23,6.8,2.49,61.68,8387,vn,grandmaster
49,Alistar,447,2.67,53.02,6.77,3.1,23.36,7062,vn,grandmaster
50,Syndra,446,2.35,48.65,6.76,2.1,185.73,10761,vn,grandmaster
51,Gnar,442,2.01,53.62,6.7,2.97,181.83,10502,vn,grandmaster
52,Kog'Maw,437,2.39,54.46,6.62,3.09,188.54,11268,vn,grandmaster
53,Smolder,435,2.08,43.22,6.62,5.83,206.81,11193,vn,grandmaster
54,Kindred,433,2.49,52.19,6.56,27.1,162.21,11279,vn,grandmaster
55,LeBlanc,430,2.7,47.21,6.52,35.47,149.58,10282,vn,grandmaster
56,Zeri,429,2.47,51.05,6.5,1.13,214.48,11613,vn,grandmaster
57,Diana,418,2.15,47.37,6.34,3.45,175.13,11035,vn,grandmaster
58,Talon,391,2.44,51.41,5.93,0.64,167.37,11114,vn,grandmaster
59,Gwen,383,1.73,52.22,5.8,3.77,191.04,11202,vn,grandmaster
60,Zoe,378,3.04,54.23,5.73,18.39,155.99,10336,vn,grandmaster
61,Nilah,376,2.32,52.66,5.7,22.91,185.15,11629,vn,grandmaster
62,Swain,376,2.89,55.05,5.72,3.05,136.71,9660,vn,grandmaster
63,Taliyah,375,2.76,54.67,5.68,6.63,175.52,11025,vn,grandmaster
64,Seraphine,363,3.15,52.89,5.5,0.68,84.77,8432,vn,grandmaster
65,Katarina,359,2.78,51.81,5.44,12.35,157.91,11010,vn,grandmaster
66,Camille,350,2.03,48,5.32,1.34,160.82,10426,vn,grandmaster
67,Fiora,343,1.55,51.31,5.2,4.41,186.54,11029,vn,grandmaster
68,Aphelios,342,2.33,51.46,5.21,0.57,195.05,11405,vn,grandmaster
69,Milio,339,3.67,47.2,5.18,1.42,25.11,6903,vn,grandmaster
70,Tristana,339,2.59,51.62,5.15,0.6,193.43,12135,vn,grandmaster
71,Lux,338,2.35,47.04,5.12,0.63,97.68,9008,vn,grandmaster
72,Darius,334,1.89,46.71,5.06,6.34,182.75,10672,vn,grandmaster
73,Blitzcrank,320,2.76,52.19,4.85,15.31,23.84,7137,vn,grandmaster
74,Jarvan IV,318,3.13,46.54,4.84,0.41,144.27,10253,vn,grandmaster
75,Warwick,312,2.35,49.68,4.74,1.51,96.48,9418,vn,grandmaster
76,Yuumi,305,3.87,44.59,4.62,31.59,14.73,6647,vn,grandmaster
77,Zac,297,3.24,51.85,4.52,1.08,122,9381,vn,grandmaster
78,Kalista,295,2.43,49.83,4.47,1.76,188.73,11528,vn,grandmaster
79,Zilean,295,2.93,50.17,4.49,1.96,42.2,7449,vn,grandmaster
80,Evelynn,287,3.28,53.66,4.35,6.01,164.85,11294,vn,grandmaster
81,Xerath,278,2.93,44.24,4.21,4.45,140.58,9751,vn,grandmaster
82,Twisted Fate,277,2.55,46.57,4.2,2.42,154.01,11029,vn,grandmaster
83,Bard,277,3.44,54.51,4.2,0.57,25.48,7683,vn,grandmaster
84,Janna,274,3.37,54.38,4.17,0.95,25.98,7416,vn,grandmaster
85,Kayn,270,2.62,52.96,4.12,0.62,165.11,11147,vn,grandmaster
86,Ryze,264,2.39,46.59,4,0.16,201.8,10873,vn,grandmaster
87,Bel'Veth,263,3.16,56.65,3.99,9.07,170.98,11119,vn,grandmaster
88,Pantheon,261,2.22,49.04,3.97,0.63,117.98,9815,vn,grandmaster
89,Shaco,256,2.65,51.56,3.88,5.15,73.27,9774,vn,grandmaster
90,Miss Fortune,255,2.54,56.08,3.88,0.14,194.78,11626,vn,grandmaster
91,Nunu & Willump,247,3,51.82,3.74,1.55,138.53,9921,vn,grandmaster
92,Ornn,245,2.35,51.02,3.71,0.25,161.99,9538,vn,grandmaster
93,Orianna,245,3,51.43,3.72,0.63,184.92,10537,vn,grandmaster
94,Skarner,241,3.68,59.34,3.65,3.88,138.83,9921,vn,grandmaster
95,Tryndamere,235,1.75,54.04,3.57,2.55,219.53,11983,vn,grandmaster
96,Volibear,233,2.16,56.22,3.53,1.25,160.27,10116,vn,grandmaster
97,Leona,231,2.43,52.81,3.5,3.11,27.26,7143,vn,grandmaster
98,Soraka,221,2.95,45.25,3.36,1.92,25.24,6907,vn,grandmaster
99,Azir,221,2.08,47.06,3.35,0.61,204.9,11091,vn,grandmaster
100,Nasus,219,1.95,53.42,3.33,3.75,164.69,10138,vn,grandmaster
101,Malphite,218,2.31,49.08,3.3,5.72,158.93,9328,vn,grandmaster
102,Lissandra,218,2.58,49.54,3.31,1.71,175.47,10099,vn,grandmaster
103,Kennen,216,2.25,59.72,3.27,1.25,170.28,10340,vn,grandmaster
104,Zed,215,2.42,49.3,3.26,3.03,175.61,11381,vn,grandmaster
105,Heimerdinger,213,2.08,52.11,3.23,1.75,173.21,10523,vn,grandmaster
106,Vi,209,2.52,48.8,3.19,0.32,150.39,10170,vn,grandmaster
107,Vladimir,209,2.48,49.28,3.17,1.41,189.01,10847,vn,grandmaster
108,Singed,207,1.85,49.76,3.16,0.67,184.38,10199,vn,grandmaster
109,Tahm Kench,202,2.26,48.02,3.06,0.49,54.38,8007,vn,grandmaster
110,Zyra,202,2.98,50.99,3.07,0.92,169.56,10601,vn,grandmaster
111,Aurelion Sol,199,2.97,51.26,3.03,0.73,184.85,10977,vn,grandmaster
112,Ekko,198,2.91,51.01,3.02,0.27,172.99,11452,vn,grandmaster
113,Olaf,198,2.19,55.56,3.01,1.17,184.93,11697,vn,grandmaster
114,Vex,188,2.69,51.06,2.85,1.67,173.99,10443,vn,grandmaster
115,Samira,184,2.22,47.28,2.79,1.39,186.17,12189,vn,grandmaster
116,Nocturne,171,2.85,52.05,2.6,2.85,172.55,11297,vn,grandmaster
117,Rengar,170,2.49,54.71,2.59,1.97,178.05,11484,vn,grandmaster
118,Karthus,160,2.43,51.25,2.42,0.94,192.07,11959,vn,grandmaster
119,Garen,158,1.53,41.14,2.41,0.18,186.5,10840,vn,grandmaster
120,Sion,156,1.76,53.85,2.44,0.26,170.49,10684,vn,grandmaster
121,Brand,145,2.46,52.41,2.2,1.26,113.21,9827,vn,grandmaster
122,Anivia,144,2.73,48.61,2.2,1.08,171.66,10078,vn,grandmaster
123,Renata Glasc,142,2.96,47.89,2.23,0.46,29.15,7613,vn,grandmaster
124,Akshan,140,2.66,50.71,2.12,4.26,168.49,11226,vn,grandmaster
125,Mordekaiser,130,1.53,46.92,1.97,1.84,162.68,9835,vn,grandmaster
126,Sejuani,127,2.67,47.24,1.93,0.07,146.72,9492,vn,grandmaster
127,Rumble,126,1.95,46.03,1.92,1.24,161.71,9963,vn,grandmaster
