Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Yasuo,32788,1.53,45.66,32.48,49.76,184.2,11999,vn,iron
2,Lee Sin,28779,2.16,44.53,28.51,17.24,150.81,11974,vn,iron
3,Caitlyn,28687,2.06,47.59,28.42,16.86,176.58,12482,vn,iron
4,Yone,26242,1.59,44.72,26,19.28,177.23,11659,vn,iron
5,Lux,24865,2.43,50.37,24.63,39.25,89.95,10577,vn,iron
6,Ezreal,22215,2.18,44.79,22.01,5.11,160.38,11686,vn,iron
7,Jinx,19987,2.2,48.15,19.8,2.5,176.43,12229,vn,iron
8,Miss Fortune,19487,2.29,48.5,19.3,2.28,162.77,12528,vn,iron
9,Malphite,19246,2.21,47.34,19.07,12.65,97.75,10570,vn,iron
10,Sylas,19145,1.89,46.23,18.97,14.87,130.89,11158,vn,iron
11,Smolder,18940,2.04,45.64,18.76,12.9,191.44,12131,vn,iron
12,Jhin,18646,2.59,47.81,18.47,4.54,167.49,12499,vn,iron
13,Master Yi,18328,1.85,48.51,18.16,23.49,171.68,12642,vn,iron
14,Ashe,17598,2.11,46.12,17.43,3.61,150.3,11441,vn,iron
15,Garen,17500,1.94,47.35,17.34,4.98,176.22,12361,vn,iron
16,Mordekaiser,17015,1.85,50.07,16.86,26.19,154.05,11826,vn,iron
17,Teemo,16656,1.9,50.64,16.5,34.38,148.71,11773,vn,iron
18,Warwick,15378,2.15,50.86,15.23,5.2,153.54,12377,vn,iron
19,Darius,13679,1.64,44.16,13.55,15.3,159.84,11623,vn,iron
20,Nasus,13634,1.86,48.71,13.51,12.36,175.54,12029,vn,iron
21,Kai'Sa,12459,2.25,45.82,12.34,2.17,183.42,12667,vn,iron
22,Zed,12262,1.94,43.64,12.15,21.82,155.48,11981,vn,iron
23,Tristana,12171,2.04,44.9,12.06,2.05,163.5,12564,vn,iron
24,Veigar,11949,2.11,49.69,11.84,10.13,155.13,12030,vn,iron
25,Aatrox,11666,1.7,45.88,11.56,28.08,155.26,11345,vn,iron
26,Graves,11549,2.21,48.41,11.44,4.75,194.61,13447,vn,iron
27,Brand,11370,1.97,50.97,11.26,17.84,93.89,10740,vn,iron
28,Pyke,11176,1.92,44.75,11.07,10.83,39.75,10342,vn,iron
29,Morgana,11025,2.54,50.37,10.92,26.91,70.46,10163,vn,iron
30,Jax,10509,1.7,45.85,10.41,2.31,160.48,11991,vn,iron
31,Cho'Gath,9713,2.14,49.14,9.62,4.63,132.02,11403,vn,iron
32,Sett,9571,1.68,48.98,9.48,2.61,153.42,11804,vn,iron
33,Thresh,9507,2.26,45.63,9.42,4.17,37.2,8764,vn,iron
