Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Graves,8189,2.72,53.66,36.42,44.95,191.26,12572,vn,master
2,Kai'Sa,5967,2.47,50.7,26.54,3.38,197.99,11851,vn,master
3,Lee Sin,5435,2.97,52.9,24.17,15.75,157.16,11244,vn,master
4,Viego,5070,2.75,50.32,22.55,6.48,167.76,11457,vn,master
5,Jinx,5027,2.46,52.72,22.36,1.55,202.26,11674,vn,master
6,Lulu,4791,3.31,51.3,21.31,12.46,26.44,7486,vn,master
7,Ezreal,4719,2.64,52.47,20.99,10.67,191.73,11346,vn,master
8,Sylas,4068,2.06,50.12,18.09,16.67,149.01,10302,vn,master
9,Aatrox,3925,1.93,51.67,17.46,11.49,169.96,10419,vn,master
10,Ashe,3794,2.47,51.53,16.87,5.48,181.82,10888,vn,master
11,Thresh,3733,2.78,53.39,16.6,12.16,28.31,7548,vn,master
12,Caitlyn,3464,2.2,50.75,15.4,10.64,196.07,11731,vn,master
13,Jhin,3460,2.98,50.95,15.39,1.05,190.3,11879,vn,master
14,Karma,3387,2.7,50.99,15.06,12.54,40.09,7883,vn,master
15,Viktor,3312,2.29,52.42,14.73,16.26,191.35,11106,vn,master
16,Gragas,3304,2.54,53.36,14.69,4.59,156.43,10433,vn,master
17,Yone,3037,1.65,47.61,13.51,7.83,195.58,10982,vn,master
18,Corki,2898,2.5,53.55,12.89,7.72,200.81,11911,vn,master
19,Nami,2710,3.41,52.18,12.05,0.4,24.53,7529,vn,master
20,Yasuo,2611,1.76,51.78,11.61,14.84,195.02,11135,vn,master
21,Nidalee,2484,3.18,51.01,11.05,10.02,158.02,11089,vn,master
22,Renekton,2477,1.94,53.49,11.02,10.53,190.14,11057,vn,master
23,K'Sante,2406,2.22,52.29,10.7,9.74,171.38,10189,vn,master
24,Ahri,2258,2.8,51.82,10.04,3.73,177.62,10697,vn,master
25,Kha'Zix,2246,2.65,50.76,9.99,14.98,171.02,11783,vn,master
26,Jayce,2236,1.77,51.48,9.94,7.71,188.44,11204,vn,master
27,Nautilus,2195,2.37,51.89,9.76,17.02,28.01,7532,vn,master
28,Pyke,2165,2.19,51.87,9.63,37.47,34.59,8898,vn,master
29,Galio,2144,2.88,54.34,9.53,6.85,156.42,9730,vn,master
30,Rell,2110,2.93,51.85,9.38,11.83,26.55,7618,vn,master
31,Yuumi,2109,4.6,49.64,9.38,36.13,14.6,7332,vn,master
32,Irelia,2095,1.63,54.03,9.32,7.96,210.37,12135,vn,master
33,Lucian,2091,2.41,53.04,9.3,1.42,194.51,11754,vn,master
34,Akali,2074,2.38,50.96,9.22,8.04,166.69,10786,vn,master
35,Kindred,2019,2.56,53,8.98,17.71,167.83,11792,vn,master
36,Maokai,2019,2.47,54.04,8.98,2.32,112.89,8790,vn,master
37,Riven,1967,1.96,54.75,8.75,1.15,188.52,11454,vn,master
38,Smolder,1924,2.13,47.71,8.56,6.74,206.76,11421,vn,master
39,Varus,1883,2.38,52.89,8.37,0.71,189.19,11466,vn,master
40,Jax,1869,1.73,52.17,8.31,9.64,173.1,10851,vn,master
41,Diana,1834,2.36,53.33,8.16,3.24,181.7,11663,vn,master
42,Xayah,1754,2.45,53.71,7.8,1.45,209.81,11974,vn,master
43,Xerath,1726,3.01,52.78,7.68,8.28,140.59,10458,vn,master
44,Lux,1710,2.55,51.11,7.6,1.62,101.84,9546,vn,master
45,Aurora,1636,2.76,53.67,7.28,16.79,176.92,10859,vn,master
46,Ambessa,1634,1.95,53.37,7.27,48.87,168.6,10584,vn,master
47,Hwei,1588,2.58,53.02,7.06,6.27,163.51,10407,vn,master
48,Taliyah,1503,2.61,53.49,6.68,6.23,165.32,11179,vn,master
49,Katarina,1483,2.73,54.89,6.6,11.02,158.99,11605,vn,master
