Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Graves,63446,2.44,52.29,31.35,22.97,206.47,13693,vn,platinum
2,Caitlyn,55929,2.15,50.74,27.64,16.25,202.43,12977,vn,platinum
3,Lee Sin,53865,2.57,50.08,26.62,16.2,161.05,12174,vn,platinum
4,Ezreal,52210,2.47,50.04,25.8,6.02,194.16,12428,vn,platinum
5,Jhin,44191,2.82,51.41,21.84,1.67,195.18,13067,vn,platinum
6,Sylas,43740,2.06,50.9,21.61,19.49,140.38,11300,vn,platinum
7,Kai'Sa,42765,2.43,49.73,21.13,3.13,206.63,13148,vn,platinum
8,Jinx,42367,2.35,51.74,20.94,1.17,206.76,12735,vn,platinum
9,Lux,41427,2.47,51.98,20.47,15.19,94.61,10375,vn,platinum
10,Viktor,38092,2.31,54.17,18.82,22.29,197.78,12214,vn,platinum
11,Yone,37923,1.64,48.3,18.74,14.65,206.2,12139,vn,platinum
12,Smolder,37760,2.06,46.52,18.66,23.81,214.81,12438,vn,platinum
13,Thresh,34759,2.59,50.86,17.18,7.97,31.49,8382,vn,platinum
14,Aatrox,32392,1.91,51.75,16.01,26.95,176.51,11602,vn,platinum
15,Yasuo,29327,1.55,46.71,14.49,30.4,205.25,12151,vn,platinum
16,Ashe,28006,2.29,49.3,13.84,2.33,177.56,11760,vn,platinum
17,Jayce,27876,1.83,48.33,13.78,5.93,198.14,12432,vn,platinum
18,Xerath,26886,2.79,52.25,13.29,27.39,108.02,10882,vn,platinum
19,Kha'Zix,24918,2.49,51.84,12.31,12.44,180.06,12929,vn,platinum
20,Pyke,19888,2.07,49,9.83,10.16,36.71,10089,vn,platinum
21,Viego,19180,2.51,50.95,9.48,1.67,175.1,12503,vn,platinum
22,Gragas,19173,2.5,50.41,9.47,2.53,161.21,11391,vn,platinum
23,Ahri,19021,2.63,52.47,9.4,5.07,183.22,11706,vn,platinum
24,Mordekaiser,18629,1.86,52.82,9.21,16.67,179.29,11925,vn,platinum
25,Garen,18589,1.8,49.03,9.19,2.13,207.84,12792,vn,platinum
26,Jarvan IV,18535,3.05,51.95,9.16,1.39,154.45,11953,vn,platinum
27,Brand,18514,1.97,51.84,9.15,10.07,92.48,10254,vn,platinum
28,Tahm Kench,18020,2.54,55.63,8.9,5.48,83.42,10067,vn,platinum
29,Lucian,17349,2.33,49.52,8.57,0.78,202.8,12921,vn,platinum
30,LeBlanc,16980,2.61,50.95,8.39,18.63,136.24,11476,vn,platinum
31,Nautilus,16850,2.32,48.63,8.33,13.65,33.67,8383,vn,platinum
32,Karma,16529,2.56,51.96,8.17,3.7,50.81,9024,vn,platinum
33,Master Yi,16392,1.96,49.11,8.1,8.38,174.58,12569,vn,platinum
34,Varus,16262,2.18,47.77,8.04,0.5,188.87,12326,vn,platinum
35,Nasus,16203,1.82,51.63,8.01,11.9,187.85,11857,vn,platinum
