Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,86302,2.13,50.4,31.31,15.64,196.68,13074,vn,silver
2,Lee Sin,76948,2.44,48.48,27.92,17.7,160.44,12365,vn,silver
3,Lux,68419,2.51,52.24,24.82,25.78,95.78,10702,vn,silver
4,Ezreal,67074,2.42,49.2,24.34,4.63,187.19,12478,vn,silver
5,Graves,67052,2.35,51.78,24.33,11.71,206.65,13867,vn,silver
6,Smolder,60254,2.06,47.27,21.86,21.02,210.62,12594,vn,silver
7,Jhin,57705,2.76,51.3,20.94,2.14,188.43,13137,vn,silver
8,Jinx,56259,2.32,50.83,20.41,1.27,199.55,12799,vn,silver
9,Yasuo,55349,1.54,46.62,20.08,46.24,201.55,12304,vn,silver
10,Yone,54460,1.68,48.15,19.76,17.81,200.95,12329,vn,silver
11,Sylas,49354,2.07,50.64,17.91,17.46,139.04,11553,vn,silver
12,Kai'Sa,46598,2.41,48.9,16.91,1.89,202.09,13294,vn,silver
13,Viktor,44882,2.33,53.38,16.28,16.66,190.8,12319,vn,silver
14,Ashe,41041,2.22,48.24,14.89,2.15,169.11,11783,vn,silver
15,Miss Fortune,39173,2.36,50.75,14.21,0.77,177.94,12969,vn,silver
16,Thresh,37861,2.52,49.44,13.74,5.69,34.29,8666,vn,silver
17,Master Yi,35090,1.93,49.5,12.73,15.35,176.74,12810,vn,silver
18,Malphite,34835,2.3,48.46,12.64,11.16,126.98,11027,vn,silver
19,Garen,34793,1.9,49.54,12.62,3.03,202.31,13033,vn,silver
20,Aatrox,34506,1.93,50.77,12.52,28.51,172.81,11870,vn,silver
21,Brand,33134,2.01,52.74,12.02,15.4,97.96,10667,vn,silver
22,Mordekaiser,32998,1.94,53.17,11.97,22.16,174.11,12227,vn,silver
23,Xerath,32855,2.82,52.87,11.92,20.53,108.34,11173,vn,silver
24,Nasus,32426,1.89,51.68,11.76,12.78,188.71,12212,vn,silver
25,Jayce,31673,1.89,47.82,11.49,3.98,193.04,12611,vn,silver
26,Teemo,31161,1.86,52.07,11.31,19.76,161.29,11962,vn,silver
27,Kha'Zix,28676,2.41,50.71,10.4,7.51,178.43,13146,vn,silver
28,Darius,27291,1.77,48.89,9.9,10.83,181.27,12265,vn,silver
29,Tahm Kench,26806,2.58,54.41,9.73,6.82,84.48,10395,vn,silver
30,Morgana,26046,2.58,52.2,9.45,38.25,69.73,9988,vn,silver
31,Pyke,25350,2.08,49.08,9.2,7.1,38.48,10441,vn,silver
32,Nocturne,25133,2.62,53.09,9.12,21.23,183.5,12756,vn,silver
